stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
47529,47529,EVERS IN FRONT OF 5631,,29.48889,-98.59791,,,,,,0
46269,46269,EVERS & WURZBACH,,29.490242,-98.599624,,,,,,0
47523,47523,EVERS OPPOSITE 5631,,29.488827,-98.598003,,,,,,0
58113,58113,EVERS OPPOSITE GLEN RIDGE,,29.48598,-98.594359,,,,,,0
11237,11237,EVERS & DAUGHTRY,,29.483971,-98.591737,,,,,,0
11227,11227,EVERS OPPOSITE FAIRFORD,,29.482061,-98.589363,,,,,,0
11217,11217,EVERS OPPOSITE E. ROLLING RIDGE,,29.479709,-98.586226,,,,,,0
11177,11177,EVERS OPPOSITE WILDFLOWER,,29.477645,-98.584151,,,,,,0
11157,11157,EVERS & BANDERA,,29.475689,-98.582395,,,,,,0
76276,76276,VANCE JACKSON & RODENA,,29.47411,-98.534908,,,,,,0
76667,76667,VANCE JACKSON AT BURGER KING,,29.473758,-98.53497,,,,,,0
81939,81939,ADA IN FRONT OF 1011,,29.381128,-98.458081,,,,,,0
45996,45996,PERRIN BEITEL OPP. LONGVALE,,29.529925,-98.411069,,,,,,0
11137,11137,MADLA TRANSIT CENTER,,29.35021,-98.532209,0,,,,,0
67787,67787,UNIVERSITY HEIGHTS IN FRONT OF BRC,,29.568433,-98.598049,,,,,,0
65836,65836,NEW WHITBY & HUEBNER,,29.521241,-98.603786,,,,,,0
22439,22439,FREDERICKSBURG RD. & WARNER,,29.455008,-98.516744,,,,,,0
58133,58133,FLOYD CURL & HUEBNER,,29.529285,-98.593802,,,,,,0
54416,54416,N.W. 24TH & POPLAR,,29.442237,-98.541048,,,,,,0
98573,98573,MARY LOUISE & FREDERICKSBURG RD.,,29.464722,-98.526397,,,,,,0
67113,67113,SE Military Dr opp ent to Brooks Shopping Center,,29.351622,-98.440546,,,,,,0
67119,67119,SE MILITARY DR & ENT BROOKS SHOP,,29.351846,-98.439424,,,,,,0
99496,99496,NAVARRO FARSIDE OF BRIDGE,,29.422937,-98.49029,,,,,,0
78897,78897,FLORES & PECAN,,29.428495,-98.494454,,,,,,0
88576,88576,FLORES & HOUSTON,,29.42669,-98.494474,,,,,,0
88586,88586,FLORES & PECAN,,29.428359,-98.494392,,,,,,0
26463,26463,IOWA & PINE,,29.411965,-98.470272,,,,,,0
44919,44919,SKOLOUT IN FRONT OF 7737,,29.400427,-98.642509,,,,,,0
66527,66527,HUEBNER & BABCOCK,,29.522955,-98.600832,,,,,,0
83463,83463,FIESTA TEXAS EMPLOYEE ENTRANCE,,29.601077,-98.605478,,,,,,0
75359,75359,LA CANTERA & VANCE JACKSON,,29.608135,-98.597617,,,,,,0
86576,86576,S. FLORES & PROBANDT,,29.38359,-98.502199,,,,,,0
86276,86276,S. FLORES & MILDRED,,29.385728,-98.503085,,,,,,0
69213,69213,SE MILITARY DR. & OLD CORPUS CHRISTI RD.,,29.351579,-98.45967,,,,,,0
56277,56277,WW WHITE & SPRINGFIELD,,29.440195,-98.405306,,,,,,0
75369,75369,LA CANTERA & RIM DRIVE,,29.606648,-98.599931,,,,,,0
22647,22647,CRESTWAY & MORNING GROVE,,29.496144,-98.3191,,,,,,0
22677,22677,CRESTWAY & WALNUT BASIN,,29.491924,-98.314065,,,,,,0
